postcode,locality,region,long,lat,territory,island
"0614","Ranui","Auckland","174.584","-36.8546","Auckland","North Island"
"0614","Waitakere","Auckland","174.584","-36.8546","Auckland","North Island"
"0618","Herald Island","Auckland","174.6378","-36.7987","Auckland","North Island"
"0618","West Harbour","Auckland","174.6378","-36.7987","Auckland","North Island"
"0618","Whenuapai","Auckland","174.6378","-36.7987","Auckland","North Island"
"0620","Castor Bay","Auckland","174.7548","-36.7661","Auckland","North Island"
"0620","Milford","Auckland","174.7548","-36.7661","Auckland","North Island"
"0620","Sunnynook","Auckland","174.7548","-36.7661","Auckland","North Island"
"0620","Sunset North","Auckland","174.7548","-36.7661","Auckland","North Island"
"0620","Takapuna","Auckland","174.7548","-36.7661","Auckland","North Island"
"0622","Bayswater","Auckland","174.778","-36.801","Auckland","North Island"
"0622","Hauraki","Auckland","174.778","-36.801","Auckland","North Island"
"0622","Milford","Auckland","174.778","-36.801","Auckland","North Island"
"0622","Takapuna","Auckland","174.778","-36.801","Auckland","North Island"
"0624","Narrow Neck","Auckland","174.7918","-36.8236","Auckland","North Island"
"0624","Stanley Point","Auckland","174.7918","-36.8236","Auckland","North Island"
"0626","Beach Haven","Auckland","174.7083","-36.8058","Auckland","North Island"
"0626","Birkdale","Auckland","174.7083","-36.8058","Auckland","North Island"
"0626","Birkenhead","Auckland","174.7083","-36.8058","Auckland","North Island"
"0627","Hillcrest","Auckland","174.7462","-36.798","Auckland","North Island"
"0627","North Shore","Auckland","174.7462","-36.798","Auckland","North Island"
"0627","Northcote","Auckland","174.7462","-36.798","Auckland","North Island"
"0627","Wairau Valley","Auckland","174.7462","-36.798","Auckland","North Island"
"0629","Glenfield","Auckland","174.7199","-36.7753","Auckland","North Island"
"0629","Totaravale","Auckland","174.7199","-36.7753","Auckland","North Island"
"0630","Campbells Bay","Auckland","174.7447","-36.7215","Auckland","North Island"
"0630","Mairangi Bay","Auckland","174.7447","-36.7215","Auckland","North Island"
"0630","Murrays Bay","Auckland","174.7447","-36.7215","Auckland","North Island"
"0630","Rothesay Bay","Auckland","174.7447","-36.7215","Auckland","North Island"
"0630","Torbay","Auckland","174.7447","-36.7215","Auckland","North Island"
"0630","Waiake","Auckland","174.7447","-36.7215","Auckland","North Island"
"0632","Albany","Auckland","174.6948","-36.7443","Auckland","North Island"
"0632","Glenfield","Auckland","174.6948","-36.7443","Auckland","North Island"
"0632","Meadowood","Auckland","174.6948","-36.7443","Auckland","North Island"
"0632","Northcross","Auckland","174.6948","-36.7443","Auckland","North Island"
"0632","Paremoremo","Auckland","174.6948","-36.7443","Auckland","North Island"
"0632","Pinehill","Auckland","174.6948","-36.7443","Auckland","North Island"
"0632","Rosedale","Auckland","174.6948","-36.7443","Auckland","North Island"
"0632","Sunnynook","Auckland","174.6948","-36.7443","Auckland","North Island"
"0632","Sunset North","Auckland","174.6948","-36.7443","Auckland","North Island"
"0640","New Lynn","Auckland","174.6831","-36.9079","Auckland","North Island"
"0641","Glen Eden","Auckland","174.652","-36.9118","Auckland","North Island"
"0642","Titirangi","Auckland","174.6575","-36.9378","Auckland","North Island"
"0643","Green Bay","Auckland","174.6801","-36.9306","Auckland","North Island"
"0644","Blockhouse Bay","Auckland","174.7015","-36.9234","Auckland","North Island"
"0645","Glendene","Auckland","174.6446","-36.8869","Auckland","North Island"
"0650","Sunnyvale","Auckland","174.6347","-36.881","Auckland","North Island"
"0651","Te Atatu","Auckland","174.6515","-36.8422","Auckland","North Island"
"0652","Te Atatu South","Auckland","174.6463","-36.865","Auckland","North Island"
"0653","Swanson","Auckland","174.58","-36.8655","Auckland","North Island"
"0654","Te Atatu South","Auckland","174.6298","-36.8557","Auckland","North Island"
"0655","Swanson","Auckland","174.6011","-36.8639","Auckland","North Island"
"0656","Massey East","Auckland","174.6224","-36.8332","Auckland","North Island"
"0657","West Harbour","Auckland","174.6105","-36.8222","Auckland","North Island"
"0660","Waitakere","Auckland","174.5447","-36.8492","Auckland","North Island"
"0661","Te Atatu Peninsula","Auckland","174.6446","-36.8107","Auckland","North Island"
"0662","Brighams Creek","Auckland","174.6163","-36.7935","Auckland","North Island"
"0663","Massey East","Auckland","174.6292","-36.8185","Auckland","North Island"
"0740","Hauraki","Auckland","174.7729","-36.7875","Auckland","North Island"
"0741","Milford","Auckland","174.7661","-36.7728","Auckland","North Island"
"0742","Torbay","Auckland","174.7506","-36.6949","Auckland","North Island"
"0743","Forrest Hill","Auckland","174.7467","-36.7512","Auckland","North Island"
"0744","Devenport","Auckland","174.7969","-36.8303","Auckland","North Island"
"0745","Glenfield","Auckland","174.7395","-36.768","Auckland","North Island"
"0746","Birkenhead","Auckland","174.7254","-36.8123","Auckland","North Island"
"0747","Marlborough","Auckland","174.7216","-36.782","Auckland","North Island"
"0748","North Shore","Auckland","174.7446","-36.8017","Auckland","North Island"
"0749","Birkdale","Auckland","174.6872","-36.7925","Auckland","North Island"
"0750","Takapuna","Auckland","174.7782","-36.7969","Auckland","North Island"
"0751","Glenfield","Auckland","174.7139","-36.7513","Auckland","North Island"
"0752","Albany","Auckland","174.7075","-36.7313","Auckland","North Island"
"0753","Browns Bay","Auckland","174.7484","-36.7155","Auckland","North Island"
"0754","Mairangi Bay","Auckland","174.7534","-36.7384","Auckland","North Island"
"0755","Albany","Auckland","174.6952","-36.7246","Auckland","North Island"
"0756","Paremoremo","Auckland","174.6702","-36.7758","Auckland","North Island"
"0757","Forrest Hill","Auckland","174.7248","-36.743","Auckland","North Island"
"0758","Mairangi Bay","Auckland","174.7419","-36.7397","Auckland","North Island"
"0772","Karekare","Auckland","174.4894","-36.9656","Auckland","North Island"
"0781","Piha","Auckland","174.4855","-36.8981","Auckland","North Island"
"0782","Waitakere","Auckland","174.5226","-36.8333","Auckland","North Island"
"0792","Red Vale","Auckland","174.6927","-36.6884","Auckland","North Island"
"0793","Coatesville","Auckland","174.6236","-36.7222","Auckland","North Island"
"0794","Dairy Flat","Auckland","174.6549","-36.6687","Auckland","North Island"
"0810","Huapai","Auckland","174.5488","-36.7726","Auckland","North Island"
"0810","Kumeu","Auckland","174.5488","-36.7726","Auckland","North Island"
"0814","Kumeu","Auckland","174.5993","-36.8061","Auckland","North Island"
"0814","Massey","Auckland","174.5993","-36.8061","Auckland","North Island"
"0814","West Harbour","Auckland","174.5993","-36.8061","Auckland","North Island"
"0814","Whenuapai","Auckland","174.5993","-36.8061","Auckland","North Island"
"0840","Helensville","Auckland","174.4505","-36.6764","Auckland","North Island"
"0841","Huapai","Auckland","174.5548","-36.7754","Auckland","North Island"
"0842","Pahitoa","Auckland","174.4926","-36.7687","Auckland","North Island"
"0843","Kaukapakapa","Auckland","174.4933","-36.6164","Auckland","North Island"
"0871","Kaukapakapa","Auckland","174.5287","-36.6354","Auckland","North Island"
"0873","Parakakau","Auckland","174.5841","-36.5611","Auckland","North Island"
"0874","Parkhurst","Auckland","174.3028","-36.5652","Auckland","North Island"
"0875","Helensville","Auckland","174.4557","-36.6868","Auckland","North Island"
"0881","Woodhill","Auckland","174.4262","-36.7829","Auckland","North Island"
"0882","Waimauku","Auckland","174.5263","-36.7176","Auckland","North Island"
"0883","Pahitoa","Auckland","174.4673","-36.7604","Auckland","North Island"
"0891","Huapai","Auckland","174.5296","-36.7875","Auckland","North Island"
"0892","Kumeu","Auckland","174.571","-36.7596","Auckland","North Island"
"0920","Algies Bay","Auckland","174.9148","-36.308","Auckland","North Island"
"0920","Kawau Island","Auckland","174.9148","-36.308","Auckland","North Island"
"0920","Leigh","Auckland","174.9148","-36.308","Auckland","North Island"
"0920","Snells Beach","Auckland","174.9148","-36.308","Auckland","North Island"
"0930","Army Bay","Auckland","174.7966","-36.6172","Auckland","North Island"
"0930","Gulf Harbour","Auckland","174.7966","-36.6172","Auckland","North Island"
"0930","Manly","Auckland","174.7966","-36.6172","Auckland","North Island"
"0930","Tindalls Beach","Auckland","174.7966","-36.6172","Auckland","North Island"
"0930","Whangaparaoa","Auckland","174.7966","-36.6172","Auckland","North Island"
"0931","Hatfields Beach","Auckland","174.6853","-36.58","Auckland","North Island"
"0932","Arkles Bay","Auckland","174.7063","-36.6232","Auckland","North Island"
"0932","Orewa","Auckland","174.7063","-36.6232","Auckland","North Island"
"0932","Redvale","Auckland","174.7063","-36.6232","Auckland","North Island"
"0932","Stanmore Bay","Auckland","174.7063","-36.6232","Auckland","North Island"
"0940","Wellsford","Auckland","174.5238","-36.2938","Auckland","North Island"
"0941","Warkworth","Auckland","174.6639","-36.3978","Auckland","North Island"
"0942","Snells Beach","Auckland","174.7235","-36.4204","Auckland","North Island"
"0943","Whangaparaoa","Auckland","174.748","-36.6366","Auckland","North Island"
"0944","Silverdale","Auckland","174.6778","-36.6178","Auckland","North Island"
"0945","Red Beach","Auckland","174.6978","-36.6056","Auckland","North Island"
"0946","Orewa","Auckland","174.6943","-36.5856","Auckland","North Island"
"0947","Leigh","Auckland","174.8047","-36.2905","Auckland","North Island"
"0948","Matakana","Auckland","174.7169","-36.3519","Auckland","North Island"
"0950","Waiwera","Auckland","174.7058","-36.5447","Auckland","North Island"
"0951","Puhoi","Auckland","174.661","-36.5121","Auckland","North Island"
"0960","Okiwi","Auckland","175.3935","-36.1556","Auckland","North Island"
"0961","Okupu","Auckland","175.462","-36.2427","Auckland","North Island"
"0962","Tryphena","Auckland","175.4883","-36.3015","Auckland","North Island"
"0963","Port Fitzroy","Auckland","175.3624","-36.1639","Auckland","North Island"
"0972","Wayby","Auckland","174.6126","-36.3001","Auckland","North Island"
"0973","Wharehine","Auckland","174.447","-36.315","Auckland","North Island"
"0974","Te Hana","Auckland","174.6008","-36.2485","Auckland","North Island"
"0975","Topuni","Northland","174.5252","-36.1895","Kaipara District","North Island"
"0977","Wharehine","Auckland","174.3225","-36.3561","Auckland","North Island"
"0981","Woodcocks","Auckland","174.5979","-36.4243","Auckland","North Island"
"0982","Algies Bay","Auckland","174.7235","-36.4404","Auckland","North Island"
"0983","Pohuehue","Auckland","174.6573","-36.4709","Auckland","North Island"
"0984","Ahuroa","Auckland","174.5307","-36.501","Auckland","North Island"
"0985","Big Omaha","Auckland","174.7381","-36.3249","Auckland","North Island"
"0986","Tawharanui","Auckland","174.8003","-36.3544","Auckland","North Island"
"0991","Whangapara","Auckland","175.4287","-36.2","Auckland","North Island"
"0992","Silverdale","Auckland","174.6619","-36.5992","Auckland","North Island"
"0993","Red Beach","Auckland","174.693","-36.6374","Auckland","North Island"
"1010","Auckland Central","Auckland","174.9811","-36.8052","Auckland","North Island"
"1010","Eden Terrace","Auckland","174.9811","-36.8052","Auckland","North Island"
"1010","Grafton","Auckland","174.9811","-36.8052","Auckland","North Island"
"1010","Mechanics Bay","Auckland","174.9811","-36.8052","Auckland","North Island"
"1010","Parnell","Auckland","174.9811","-36.8052","Auckland","North Island"
"1010","Rakino Island","Auckland","174.9811","-36.8052","Auckland","North Island"
"1010","Surfdale","Auckland","174.9811","-36.8052","Auckland","North Island"
"1011","Freemans Bay","Auckland","174.7336","-36.8447","Auckland","North Island"
"1011","Herne Bay","Auckland","174.7336","-36.8447","Auckland","North Island"
"1011","Ponsonby","Auckland","174.7336","-36.8447","Auckland","North Island"
"1011","St Marys Bay","Auckland","174.7336","-36.8447","Auckland","North Island"
"1011","Westhaven","Auckland","174.7336","-36.8447","Auckland","North Island"
"1021","Arch Hill","Auckland","174.7432","-36.863","Auckland","North Island"
"1021","Eden Terrace","Auckland","174.7432","-36.863","Auckland","North Island"
"1021","Grey Lynn","Auckland","174.7432","-36.863","Auckland","North Island"
"1021","Kingsland","Auckland","174.7432","-36.863","Auckland","North Island"
"1021","Ponsonby","Auckland","174.7432","-36.863","Auckland","North Island"
"1022","Mt Albert","Auckland","174.7053","-36.8585","Auckland","North Island"
"1022","Point Chevalier","Auckland","174.7053","-36.8585","Auckland","North Island"
"1022","Western Springs","Auckland","174.7053","-36.8585","Auckland","North Island"
"1022","Westmere","Auckland","174.7053","-36.8585","Auckland","North Island"
"1023","Epsom","Auckland","174.7709","-36.8872","Auckland","North Island"
"1023","Grafton","Auckland","174.7709","-36.8872","Auckland","North Island"
"1023","Newmarket","Auckland","174.7709","-36.8872","Auckland","North Island"
"1023","Royal Oak","Auckland","174.7709","-36.8872","Auckland","North Island"
"1024","Epsom","Auckland","174.7529","-36.8877","Auckland","North Island"
"1024","Mt Eden","Auckland","174.7529","-36.8877","Auckland","North Island"
"1024","Three Kings","Auckland","174.7529","-36.8877","Auckland","North Island"
"1025","Mt Albert","Auckland","174.7238","-36.8844","Auckland","North Island"
"1025","Mt Roskill","Auckland","174.7238","-36.8844","Auckland","North Island"
"1025","Point Chevalier","Auckland","174.7238","-36.8844","Auckland","North Island"
"1025","Sandringham","Auckland","174.7238","-36.8844","Auckland","North Island"
"1026","Avondale","Auckland","174.6829","-36.876","Auckland","North Island"
"1026","Waterview","Auckland","174.6829","-36.876","Auckland","North Island"
"1041","Mount Roskill","Auckland","174.7335","-36.9125","Auckland","North Island"
"1041","Mt Eden","Auckland","174.7335","-36.9125","Auckland","North Island"
"1041","Mt Roskill","Auckland","174.7335","-36.9125","Auckland","North Island"
"1041","Sandringham","Auckland","174.7335","-36.9125","Auckland","North Island"
"1042","Hillsborough","Auckland","174.7393","-36.9214","Auckland","North Island"
"1042","Lynfield","Auckland","174.7393","-36.9214","Auckland","North Island"
"1042","Three Kings","Auckland","174.7393","-36.9214","Auckland","North Island"
"1050","Remuera","Auckland","174.8042","-36.8768","Auckland","North Island"
"1050","St Johns","Auckland","174.8042","-36.8768","Auckland","North Island"
"1051","Ellerslie","Auckland","174.8071","-36.8917","Auckland","North Island"
"1051","Epsom","Auckland","174.8071","-36.8917","Auckland","North Island"
"1051","Greenlane","Auckland","174.8071","-36.8917","Auckland","North Island"
"1051","Mt Wellington","Auckland","174.8071","-36.8917","Auckland","North Island"
"1051","One Tree Hill","Auckland","174.8071","-36.8917","Auckland","North Island"
"1051","Remuera","Auckland","174.8071","-36.8917","Auckland","North Island"
"1052","Parnell","Auckland","174.7914","-36.857","Auckland","North Island"
"1052","Point Resolution","Auckland","174.7914","-36.857","Auckland","North Island"
"1060","Ellerslie","Auckland","174.8356","-36.9177","Auckland","North Island"
"1060","Mt Wellington","Auckland","174.8356","-36.9177","Auckland","North Island"
"1060","Penrose","Auckland","174.8356","-36.9177","Auckland","North Island"
"1061","Ellerslie","Auckland","174.7991","-36.9155","Auckland","North Island"
